Business_id,Login_Date,Sales_Amount,Advanced_Amount,GST_Amount,Payment_mode
DSWA3731,15-07-2019,8000,6780,1440,Cheque
DGWA3085,27-06-2019,0,0,0,No Data
DCNG2634,08-10-2020,0,0,0,No Data
DAAJ2180,13-09-2019,8000,6780,1440,Online
DCNG2635,12-12-2020,10030,10030,1805.4,Cash
DONM3479,08-01-2020,17700,17700,3186,Cheque
DONM3479,08-01-2020,17700,17700,3186,Cheque
DHBK3179,18-11-2021,10000,10000,1800,Online 
DDWA2917,03-07-2019,8000,8000,1440,Cheque
DRBD3638,17-04-2019,7000,7000,1260,Cheque
DHBK3180,06-11-2021,7500,5000,1350,Online 
DGBD3024,31-05-2022,10000,10000,1800,cheque
DDWA2918,05-07-2019,10000,10000,1800,Cheque
DNBD3374,24-05-2019,12000,12000,2160,Cash
